customer_id,cluster_kmeans_lifetime,cluster_name
3,4,Karens junior
4,6,Clean and green
5,0,Green screen
7,5,Large Families
8,5,Large Families
9,2,Karens
10,3,Average customer
11,5,Large Families
12,0,Green screen
14,6,Clean and green
15,6,Clean and green
16,4,Karens junior
18,5,Large Families
19,8,
20,7,Meetfish
22,6,Clean and green
24,2,Karens
25,1,Promotion seeker
26,7,Meetfish
27,4,Karens junior
28,1,Promotion seeker
29,4,Karens junior
30,2,Karens
31,5,Large Families
33,0,Green screen
34,0,Green screen
35,0,Green screen
36,3,Average customer
37,0,Green screen
38,0,Green screen
39,7,Meetfish
40,3,Average customer
41,2,Karens
42,1,Promotion seeker
44,6,Clean and green
46,6,Clean and green
47,4,Karens junior
48,1,Promotion seeker
49,3,Average customer
50,0,Green screen
52,5,Large Families
53,4,Karens junior
54,7,Meetfish
55,3,Average customer
56,1,Promotion seeker
57,1,Promotion seeker
59,1,Promotion seeker
60,3,Average customer
61,2,Karens
62,3,Average customer
63,2,Karens
64,4,Karens junior
66,2,Karens
69,6,Clean and green
70,5,Large Families
71,2,Karens
72,6,Clean and green
73,5,Large Families
74,6,Clean and green
75,5,Large Families
76,0,Green screen
77,2,Karens
78,7,Meetfish
79,4,Karens junior
80,1,Promotion seeker
81,1,Promotion seeker
82,4,Karens junior
83,5,Large Families
84,4,Karens junior
85,8,
86,0,Green screen
87,7,Meetfish
89,2,Karens
90,5,Large Families
91,4,Karens junior
92,4,Karens junior
94,2,Karens
95,5,Large Families
97,1,Promotion seeker
100,0,Green screen
102,5,Large Families
103,6,Clean and green
105,3,Average customer
106,5,Large Families
107,7,Meetfish
108,4,Karens junior
109,6,Clean and green
110,4,Karens junior
111,2,Karens
112,1,Promotion seeker
113,0,Green screen
114,7,Meetfish
115,5,Large Families
116,5,Large Families
117,7,Meetfish
119,2,Karens
120,6,Clean and green
121,0,Green screen
122,7,Meetfish
123,3,Average customer
124,6,Clean and green
125,2,Karens
126,8,
127,3,Average customer
128,5,Large Families
129,6,Clean and green
130,0,Green screen
131,4,Karens junior
132,0,Green screen
134,1,Promotion seeker
135,0,Green screen
136,1,Promotion seeker
137,2,Karens
138,4,Karens junior
139,2,Karens
141,6,Clean and green
142,7,Meetfish
144,5,Large Families
145,5,Large Families
146,2,Karens
147,4,Karens junior
148,2,Karens
149,3,Average customer
152,1,Promotion seeker
154,5,Large Families
157,0,Green screen
158,0,Green screen
159,1,Promotion seeker
160,2,Karens
161,0,Green screen
162,1,Promotion seeker
163,2,Karens
165,3,Average customer
166,7,Meetfish
168,1,Promotion seeker
170,5,Large Families
171,4,Karens junior
172,2,Karens
173,4,Karens junior
174,0,Green screen
176,1,Promotion seeker
179,4,Karens junior
180,4,Karens junior
182,0,Green screen
184,0,Green screen
185,7,Meetfish
186,3,Average customer
187,5,Large Families
188,2,Karens
189,6,Clean and green
191,0,Green screen
192,1,Promotion seeker
193,2,Karens
195,0,Green screen
196,1,Promotion seeker
197,2,Karens
198,4,Karens junior
199,0,Green screen
200,7,Meetfish
201,7,Meetfish
202,0,Green screen
203,5,Large Families
204,1,Promotion seeker
205,6,Clean and green
206,7,Meetfish
207,7,Meetfish
208,3,Average customer
210,1,Promotion seeker
211,7,Meetfish
212,0,Green screen
213,0,Green screen
214,1,Promotion seeker
215,4,Karens junior
216,4,Karens junior
217,1,Promotion seeker
218,0,Green screen
219,5,Large Families
220,0,Green screen
221,3,Average customer
225,1,Promotion seeker
226,2,Karens
229,3,Average customer
231,3,Average customer
232,0,Green screen
233,0,Green screen
235,0,Green screen
236,5,Large Families
238,4,Karens junior
240,5,Large Families
241,0,Green screen
242,0,Green screen
243,6,Clean and green
244,0,Green screen
245,0,Green screen
248,0,Green screen
249,0,Green screen
250,2,Karens
251,4,Karens junior
254,4,Karens junior
256,7,Meetfish
257,7,Meetfish
258,2,Karens
259,4,Karens junior
260,5,Large Families
261,3,Average customer
262,1,Promotion seeker
263,5,Large Families
264,6,Clean and green
265,4,Karens junior
266,4,Karens junior
270,6,Clean and green
272,0,Green screen
274,7,Meetfish
276,5,Large Families
278,7,Meetfish
279,7,Meetfish
280,7,Meetfish
282,1,Promotion seeker
283,0,Green screen
284,4,Karens junior
285,2,Karens
286,3,Average customer
287,8,
288,5,Large Families
290,7,Meetfish
292,0,Green screen
293,8,
295,0,Green screen
296,0,Green screen
297,6,Clean and green
298,0,Green screen
299,7,Meetfish
300,5,Large Families
301,0,Green screen
303,2,Karens
304,0,Green screen
305,0,Green screen
306,7,Meetfish
307,6,Clean and green
308,7,Meetfish
310,7,Meetfish
311,6,Clean and green
312,4,Karens junior
313,4,Karens junior
315,0,Green screen
317,6,Clean and green
321,0,Green screen
322,7,Meetfish
323,4,Karens junior
324,6,Clean and green
325,3,Average customer
326,3,Average customer
328,1,Promotion seeker
329,6,Clean and green
330,0,Green screen
331,5,Large Families
336,1,Promotion seeker
337,1,Promotion seeker
338,5,Large Families
339,4,Karens junior
340,7,Meetfish
341,2,Karens
342,7,Meetfish
343,4,Karens junior
344,3,Average customer
346,0,Green screen
347,7,Meetfish
350,0,Green screen
351,0,Green screen
352,0,Green screen
353,3,Average customer
355,0,Green screen
356,6,Clean and green
358,2,Karens
360,0,Green screen
361,7,Meetfish
362,0,Green screen
363,5,Large Families
364,2,Karens
365,2,Karens
366,2,Karens
367,8,
368,0,Green screen
369,0,Green screen
370,1,Promotion seeker
371,4,Karens junior
372,7,Meetfish
373,7,Meetfish
375,3,Average customer
376,1,Promotion seeker
377,0,Green screen
378,0,Green screen
379,3,Average customer
381,4,Karens junior
382,4,Karens junior
383,3,Average customer
384,4,Karens junior
385,0,Green screen
386,1,Promotion seeker
387,4,Karens junior
389,2,Karens
390,5,Large Families
391,3,Average customer
392,1,Promotion seeker
393,6,Clean and green
394,4,Karens junior
395,1,Promotion seeker
396,5,Large Families
397,0,Green screen
398,5,Large Families
399,6,Clean and green
400,6,Clean and green
401,4,Karens junior
402,4,Karens junior
403,6,Clean and green
405,0,Green screen
406,0,Green screen
407,4,Karens junior
408,5,Large Families
410,7,Meetfish
411,0,Green screen
412,5,Large Families
413,3,Average customer
414,7,Meetfish
416,6,Clean and green
417,6,Clean and green
418,7,Meetfish
419,2,Karens
420,2,Karens
421,0,Green screen
422,8,
424,2,Karens
425,6,Clean and green
426,5,Large Families
427,0,Green screen
428,7,Meetfish
429,0,Green screen
431,3,Average customer
432,6,Clean and green
434,4,Karens junior
435,3,Average customer
436,8,
437,7,Meetfish
438,7,Meetfish
440,4,Karens junior
441,2,Karens
442,1,Promotion seeker
443,4,Karens junior
445,5,Large Families
446,1,Promotion seeker
447,0,Green screen
448,7,Meetfish
449,0,Green screen
450,7,Meetfish
451,3,Average customer
452,7,Meetfish
453,7,Meetfish
455,4,Karens junior
456,6,Clean and green
457,2,Karens
460,2,Karens
461,8,
462,2,Karens
464,0,Green screen
465,5,Large Families
467,0,Green screen
469,3,Average customer
470,5,Large Families
471,1,Promotion seeker
472,5,Large Families
473,3,Average customer
474,7,Meetfish
475,2,Karens
476,7,Meetfish
477,7,Meetfish
479,0,Green screen
480,6,Clean and green
481,5,Large Families
