customer_id,cluster_kmeans,cluster_name
3,4,Promotion Lovers
4,2,Clean & Green
5,0,Regular Cutomers
7,1,Gamers
8,1,Gamers
9,5,Low-Value Occasional Customers
10,7,Large Families
11,6,High-Value Customers
12,0,Regular Cutomers
14,5,Low-Value Occasional Customers
15,2,Clean & Green
16,4,Promotion Lovers
18,1,Gamers
19,3,Senior Karens
20,6,High-Value Customers
22,2,Clean & Green
24,5,Low-Value Occasional Customers
25,4,Promotion Lovers
26,6,High-Value Customers
27,4,Promotion Lovers
28,8,Young Karens
29,4,Promotion Lovers
30,5,Low-Value Occasional Customers
31,1,Gamers
33,0,Regular Cutomers
34,0,Regular Cutomers
35,0,Regular Cutomers
36,7,Large Families
37,0,Regular Cutomers
38,0,Regular Cutomers
39,6,High-Value Customers
40,7,Large Families
41,5,Low-Value Occasional Customers
42,8,Young Karens
44,2,Clean & Green
46,2,Clean & Green
47,4,Promotion Lovers
48,8,Young Karens
49,7,Large Families
50,6,High-Value Customers
52,1,Gamers
53,4,Promotion Lovers
54,1,Gamers
55,7,Large Families
56,8,Young Karens
57,8,Young Karens
59,4,Promotion Lovers
60,7,Large Families
61,5,Low-Value Occasional Customers
62,7,Large Families
63,5,Low-Value Occasional Customers
64,4,Promotion Lovers
66,5,Low-Value Occasional Customers
69,2,Clean & Green
70,1,Gamers
71,5,Low-Value Occasional Customers
72,2,Clean & Green
73,1,Gamers
74,2,Clean & Green
75,1,Gamers
76,0,Regular Cutomers
77,5,Low-Value Occasional Customers
78,7,Large Families
79,4,Promotion Lovers
80,0,Regular Cutomers
81,8,Young Karens
82,4,Promotion Lovers
83,1,Gamers
84,6,High-Value Customers
85,3,Senior Karens
86,0,Regular Cutomers
87,6,High-Value Customers
89,5,Low-Value Occasional Customers
90,1,Gamers
91,4,Promotion Lovers
92,4,Promotion Lovers
94,5,Low-Value Occasional Customers
95,1,Gamers
97,4,Promotion Lovers
100,4,Promotion Lovers
102,1,Gamers
103,2,Clean & Green
105,7,Large Families
106,1,Gamers
107,4,Promotion Lovers
108,4,Promotion Lovers
109,2,Clean & Green
110,4,Promotion Lovers
111,5,Low-Value Occasional Customers
112,8,Young Karens
113,0,Regular Cutomers
114,1,Gamers
115,1,Gamers
116,3,Senior Karens
117,6,High-Value Customers
119,5,Low-Value Occasional Customers
120,2,Clean & Green
121,0,Regular Cutomers
122,3,Senior Karens
123,7,Large Families
124,2,Clean & Green
125,5,Low-Value Occasional Customers
126,3,Senior Karens
127,7,Large Families
128,1,Gamers
129,2,Clean & Green
130,0,Regular Cutomers
131,0,Regular Cutomers
132,0,Regular Cutomers
134,8,Young Karens
135,0,Regular Cutomers
136,0,Regular Cutomers
137,5,Low-Value Occasional Customers
138,4,Promotion Lovers
139,5,Low-Value Occasional Customers
141,2,Clean & Green
142,6,High-Value Customers
144,1,Gamers
145,1,Gamers
146,5,Low-Value Occasional Customers
147,4,Promotion Lovers
148,5,Low-Value Occasional Customers
149,7,Large Families
152,8,Young Karens
154,1,Gamers
157,0,Regular Cutomers
158,0,Regular Cutomers
159,0,Regular Cutomers
160,5,Low-Value Occasional Customers
161,0,Regular Cutomers
162,8,Young Karens
163,5,Low-Value Occasional Customers
165,7,Large Families
166,0,Regular Cutomers
168,4,Promotion Lovers
170,1,Gamers
171,4,Promotion Lovers
172,5,Low-Value Occasional Customers
173,4,Promotion Lovers
174,0,Regular Cutomers
176,4,Promotion Lovers
179,0,Regular Cutomers
180,6,High-Value Customers
182,0,Regular Cutomers
184,0,Regular Cutomers
185,6,High-Value Customers
186,7,Large Families
187,1,Gamers
188,5,Low-Value Occasional Customers
189,2,Clean & Green
191,0,Regular Cutomers
192,8,Young Karens
193,5,Low-Value Occasional Customers
195,0,Regular Cutomers
196,8,Young Karens
197,5,Low-Value Occasional Customers
198,4,Promotion Lovers
199,0,Regular Cutomers
200,6,High-Value Customers
201,6,High-Value Customers
202,0,Regular Cutomers
203,1,Gamers
204,0,Regular Cutomers
205,2,Clean & Green
206,4,Promotion Lovers
207,6,High-Value Customers
208,7,Large Families
210,8,Young Karens
211,6,High-Value Customers
212,0,Regular Cutomers
213,0,Regular Cutomers
214,8,Young Karens
215,6,High-Value Customers
216,4,Promotion Lovers
217,4,Promotion Lovers
218,0,Regular Cutomers
219,1,Gamers
220,0,Regular Cutomers
221,7,Large Families
225,8,Young Karens
226,5,Low-Value Occasional Customers
229,7,Large Families
231,7,Large Families
232,0,Regular Cutomers
233,0,Regular Cutomers
235,0,Regular Cutomers
236,1,Gamers
238,4,Promotion Lovers
240,1,Gamers
241,0,Regular Cutomers
242,0,Regular Cutomers
243,2,Clean & Green
244,0,Regular Cutomers
245,0,Regular Cutomers
248,0,Regular Cutomers
249,0,Regular Cutomers
250,5,Low-Value Occasional Customers
251,4,Promotion Lovers
254,4,Promotion Lovers
256,6,High-Value Customers
257,6,High-Value Customers
258,5,Low-Value Occasional Customers
259,4,Promotion Lovers
260,1,Gamers
261,7,Large Families
262,8,Young Karens
263,1,Gamers
264,2,Clean & Green
265,4,Promotion Lovers
266,4,Promotion Lovers
270,2,Clean & Green
272,0,Regular Cutomers
274,6,High-Value Customers
276,1,Gamers
278,0,Regular Cutomers
279,6,High-Value Customers
280,0,Regular Cutomers
282,8,Young Karens
283,0,Regular Cutomers
284,4,Promotion Lovers
285,5,Low-Value Occasional Customers
286,7,Large Families
287,3,Senior Karens
288,1,Gamers
290,0,Regular Cutomers
292,0,Regular Cutomers
293,3,Senior Karens
295,0,Regular Cutomers
296,0,Regular Cutomers
297,2,Clean & Green
298,0,Regular Cutomers
299,6,High-Value Customers
300,1,Gamers
301,6,High-Value Customers
303,2,Clean & Green
304,0,Regular Cutomers
305,0,Regular Cutomers
306,0,Regular Cutomers
307,2,Clean & Green
308,4,Promotion Lovers
310,6,High-Value Customers
311,2,Clean & Green
312,4,Promotion Lovers
313,4,Promotion Lovers
315,0,Regular Cutomers
317,2,Clean & Green
321,0,Regular Cutomers
322,6,High-Value Customers
323,4,Promotion Lovers
324,2,Clean & Green
325,7,Large Families
326,7,Large Families
328,8,Young Karens
329,2,Clean & Green
330,0,Regular Cutomers
331,1,Gamers
336,8,Young Karens
337,8,Young Karens
338,1,Gamers
339,0,Regular Cutomers
340,6,High-Value Customers
341,5,Low-Value Occasional Customers
342,6,High-Value Customers
343,4,Promotion Lovers
344,7,Large Families
346,0,Regular Cutomers
347,3,Senior Karens
350,0,Regular Cutomers
351,0,Regular Cutomers
352,0,Regular Cutomers
353,7,Large Families
355,0,Regular Cutomers
356,2,Clean & Green
358,5,Low-Value Occasional Customers
360,0,Regular Cutomers
361,3,Senior Karens
362,0,Regular Cutomers
363,1,Gamers
364,5,Low-Value Occasional Customers
365,5,Low-Value Occasional Customers
366,5,Low-Value Occasional Customers
367,3,Senior Karens
368,0,Regular Cutomers
369,0,Regular Cutomers
370,8,Young Karens
371,6,High-Value Customers
372,6,High-Value Customers
373,6,High-Value Customers
375,7,Large Families
376,8,Young Karens
377,0,Regular Cutomers
378,0,Regular Cutomers
379,7,Large Families
381,4,Promotion Lovers
382,4,Promotion Lovers
383,7,Large Families
384,4,Promotion Lovers
385,0,Regular Cutomers
386,4,Promotion Lovers
387,4,Promotion Lovers
389,5,Low-Value Occasional Customers
390,1,Gamers
391,7,Large Families
392,0,Regular Cutomers
393,2,Clean & Green
394,4,Promotion Lovers
395,8,Young Karens
396,1,Gamers
397,0,Regular Cutomers
398,1,Gamers
399,2,Clean & Green
400,2,Clean & Green
401,4,Promotion Lovers
402,4,Promotion Lovers
403,2,Clean & Green
405,0,Regular Cutomers
406,6,High-Value Customers
407,4,Promotion Lovers
408,1,Gamers
410,6,High-Value Customers
411,0,Regular Cutomers
412,1,Gamers
413,7,Large Families
414,6,High-Value Customers
416,2,Clean & Green
417,2,Clean & Green
418,0,Regular Cutomers
419,5,Low-Value Occasional Customers
420,5,Low-Value Occasional Customers
421,0,Regular Cutomers
422,3,Senior Karens
424,5,Low-Value Occasional Customers
425,2,Clean & Green
426,1,Gamers
427,0,Regular Cutomers
428,6,High-Value Customers
429,0,Regular Cutomers
431,7,Large Families
432,2,Clean & Green
434,4,Promotion Lovers
435,7,Large Families
436,3,Senior Karens
437,0,Regular Cutomers
438,6,High-Value Customers
440,4,Promotion Lovers
441,5,Low-Value Occasional Customers
442,8,Young Karens
443,4,Promotion Lovers
445,1,Gamers
446,8,Young Karens
447,0,Regular Cutomers
448,4,Promotion Lovers
449,0,Regular Cutomers
450,0,Regular Cutomers
451,7,Large Families
452,6,High-Value Customers
453,0,Regular Cutomers
455,6,High-Value Customers
456,2,Clean & Green
457,5,Low-Value Occasional Customers
460,5,Low-Value Occasional Customers
461,3,Senior Karens
462,5,Low-Value Occasional Customers
464,0,Regular Cutomers
465,1,Gamers
467,0,Regular Cutomers
469,7,Large Families
470,1,Gamers
471,8,Young Karens
472,1,Gamers
473,7,Large Families
474,6,High-Value Customers
475,5,Low-Value Occasional Customers
476,6,High-Value Customers
477,6,High-Value Customers
479,0,Regular Cutomers
480,2,Clean & Green
481,1,Gamers
482,4,Promotion Lovers
484,6,High-Value Customers
485,8,Young Karens
486,0,Regular Cutomers
487,6,High-Value Customers
488,7,Large Families
489,6,High-Value Customers
490,6,High-Value Customers
491,4,Promotion Lovers
492,0,Regular Cutomers
494,8,Young Karens
495,0,Regular Cutomers
496,5,Low-Value Occasional Customers
497,7,Large Families
498,0,Regular Cutomers
499,4,Promotion Lovers
501,4,Promotion Lovers
502,0,Regular Cutomers
